Time (s),Pressure (,Temperat,Altitude (,Red,Green,Blue,
1,95931,21.3,459.09,3575,4355,3089,
4,95935,21.4,458.13,4308,5203,4446,
7,95937,21.3,458.65,5153,6265,5311,
10,95931,21.3,459.18,4318,5281,4646,
13,95926,21.3,459,4127,5084,4454,
16,95933,21.3,459,4320,5244,4544,
19,95937,21.3,458.57,4267,5333,4557,
23,95939,21.3,458.74,4669,5657,4787,
26,95932,21.3,458.65,4894,5948,4860,
29,95943,21.3,458.39,2770,3165,2720,
32,95932,21.3,458.74,1604,2180,1229,
35,95943,21.3,457.78,777,713,643,
38,95932,21.3,459.18,681,811,583,
41,95937,21.3,458.57,563,697,693,
44,95942,21.3,457.78,698,1322,943,
48,95948,21.3,457.96,1516,1583,1139,
51,95937,21.3,458.65,949,1124,614,
54,95941,21.3,458.13,304,343,216,
57,95942,21.4,458.22,2126,2392,2268,
60,95941,21.4,458.57,55,64,35,
63,95925,21.4,459.53,120,146,102,
66,95934,21.4,458.74,887,1060,582,
69,95933,21.3,458.57,268,440,246,
73,95935,21.4,458.57,1107,1275,1155,
76,95931,21.4,458.57,325,296,231,
79,95935,21.4,458.83,1011,1322,1071,
82,95935,21.4,458.48,96,107,52,
85,95944,21.3,457.26,366,391,224,
88,95952,21.4,458.48,84,119,79,
91,95935,21.4,457.96,60,60,22,
95,95935,21.4,458.74,485,350,418,
98,95933,21.4,459.18,372,344,587,
101,95924,21.4,459.7,171,187,110,
104,95917,21.4,460.05,175,232,144,
107,95912,21.4,460.13,3317,3344,4082,
110,95897,21.4,461.96,304,403,240,
113,95885,21.4,462.57,190,226,138,
116,95885,21.4,463.18,219,290,153,
120,95876,21.4,463.79,325,234,135,
123,95871,21.4,464.31,63,66,42,
126,95856,21.4,465.71,95,91,58,
129,95848,21.4,466.14,107,144,90,
132,95842,21.4,467.19,172,184,98,
135,95833,21.4,467.19,161,146,100,
138,95823,21.4,468.06,434,397,236,
141,95825,21.4,468.32,3457,2593,3285,
145,95829,21.4,468.23,44244,65120,46419,
148,95832,21.4,467.45,65535,65535,65535,
151,95838,21.4,467.19,65535,65535,65535,
154,95832,21.4,467.45,65535,65535,65535,
157,95828,21.4,467.97,65535,65535,65535,
160,95837,21.4,468.14,65535,65535,65535,
163,95836,21.4,466.75,65535,65535,65535,
167,95845,21.4,466.75,65535,65535,65535,
170,95837,21.4,467.27,65535,65535,65535,
173,95834,21.4,467.62,65535,65535,65535,
176,95828,21.4,467.88,65535,65535,65535,
179,95827,21.4,468.14,65535,65535,65535,
182,95833,21.4,467.88,65535,65535,65535,
185,95831,21.4,467.62,65535,65535,65535,
188,95829,21.4,467.8,65535,65535,65535,
192,95834,21.4,467.62,65535,65535,65535,
195,95831,21.4,467.19,65535,65535,65535,
198,95825,21.4,468.06,65535,65535,65535,
201,95828,21.4,467.71,65535,65535,65535,
204,95832,21.4,467.27,65535,65535,65535,
207,95835,21.4,466.93,65535,65535,65535,
210,95841,21.4,467.62,65535,65535,65535,
214,95841,21.4,467.01,65535,65535,65535,
217,95828,21.5,468.14,65535,65535,65535,
220,95821,21.5,467.71,65535,65535,65535,
223,95825,21.5,468.14,65535,65535,65535,
226,95830,21.5,467.27,65535,65535,65535,
229,95839,21.5,467.36,65535,65535,65535,
232,95832,21.5,467.45,65535,65535,65535,
235,95834,21.5,468.06,65535,65535,65535,
239,95834,21.5,467.62,65535,65535,65535,
242,95832,21.5,467.71,65535,65535,65535,
245,95832,21.5,467.62,65535,65535,65535,
248,95835,21.5,467.19,65535,65535,65535,
251,95831,21.5,467.8,65535,65535,65535,
254,95831,21.5,467.45,65535,65535,65535,
257,95837,21.5,467.53,65535,65535,65535,
260,95840,21.5,467.36,65535,65535,65535,
264,95836,21.5,467.53,65535,65535,65535,
267,95842,21.5,466.93,65535,65535,65535,
270,95842,21.5,467.1,65535,65535,65535,
273,95833,21.5,466.49,65535,65535,65535,
276,95836,21.5,467.19,65535,65535,65535,
279,95832,21.5,467.45,65535,65535,65535,
282,95829,21.5,467.45,65535,65535,65535,
286,95828,21.5,467.8,65535,65535,65535,
289,95837,21.5,467.71,65535,65535,65535,
292,95831,21.5,467.71,65535,65535,65535,
295,95843,21.5,467.27,65535,65535,65535,
298,95836,21.5,467.27,65535,65535,65535,
301,95837,21.5,467.27,65535,65535,65535,
304,95834,21.5,467.62,65535,65535,65535,
307,95824,21.6,468.58,65535,65535,65535,
311,95824,21.6,467.97,65535,65535,65535,
314,95820,21.6,468.93,65535,65534,65534,
317,95825,21.6,467.88,65535,65535,65534,
320,95842,21.7,466.84,65535,65534,65535,
323,95839,21.7,467.62,65534,65535,65534,
326,95833,21.8,467.36,65534,65535,65534,
329,95823,21.8,467.88,65534,65535,65534,
332,95819,21.8,468.93,65534,65535,65534,
336,95825,21.8,468.41,65535,65534,65534,
339,95823,21.8,468.06,65535,65535,65535,
342,95829,21.8,467.27,65535,65535,65535,
345,95828,21.9,467.1,65535,65534,65534,
348,95824,21.8,467.97,65534,65535,65535,
351,95829,21.9,467.01,65534,65535,65535,
354,95821,21.9,468.67,65534,65534,65534,
358,95820,21.9,468.58,65535,65535,65535,
361,95831,21.9,467.97,64965,65535,47669,
364,95829,21.9,468.06,48011,47332,39896,
367,95820,21.9,468.41,56510,56788,47053,
370,95821,22,468.84,65535,65535,65535,
373,95831,22,468.14,50475,53098,44192,
376,95835,22,467.62,48135,55922,51622,
379,95816,22,468.49,65535,65534,65535,
383,95824,22,468.76,65534,65534,63600,
386,95811,22,469.89,37730,45579,34340,
389,95821,22.1,468.49,34522,43604,35094,
392,95812,22.1,469.37,41564,47792,35884,
395,95811,22.1,469.1,54148,62598,49896,
398,95812,22.1,469.1,51131,54024,39377,
401,95811,22.1,469.37,65535,65535,65535,
404,95812,22.2,469.28,65535,65535,65535,
408,95824,22.2,468.67,65535,65535,65535,
