DS18B20,BMP390,,,SEN0463 (Geiger),,,GY271 (Magnetometer),,,,,SCD30,,,PMSA003I,,,,,,Solar Panel,,,,Time,Heater
External Temp (*C), Internal Temp (*C), Pressure (hPa), Approx. Altitude (meters), CPM, nSv/h, uSv/h, Mag. field X (mG), Mag. field Y (mG), Mag. field Z (mG), Heading (°), Magnitude (mG), CO2 (ppm), SCD30 Temp (C), Humidity (%), Particles > 0.3um / 0.1L air, Particles > 0.5um / 0.1L air, Particles > 1.0um / 0.1L air, Particles > 2.5um / 0.1L air, Particles > 5.0um / 0.1L air, Particles > 10 um / 0.1L air, Voltage (V), Power (mW), Solar Power (mW), Intensity (W/m^2), Time (seconds), Outside Heater Status
27.37,22.83,831.45,1637.16,0,0,0,42.04,3.58,17.35,4,45.62,0,0,0,24948,25390,30323,0,0,9984,5,2.5,14.71,3.69,0,Off
27.12,24.26,981.1,271.2,0,0,0,20.12,10.68,14.68,27,27.11,445,26.5,30.05,1351,1034,243,72,3,3,5,2.5,14.71,3.69,6,Off
26.94,24.26,981.08,271.32,0,0,0,39.89,6.56,15.77,9,43.39,553,26.58,29.98,4413,3518,832,178,1,1,5,2.5,14.71,3.69,12,Off
26.75,24.27,981.08,271.37,10,70,0.07,36.46,11.89,16.87,18,41.9,526,26.62,29.82,5503,4535,1079,162,0,0,5,2.5,14.71,3.69,17,Off
26.5,24.28,981.05,271.56,10,70,0.07,37.79,11,17.14,16,42.93,521,26.6,29.55,6253,5235,1264,137,0,0,5,2.5,14.71,3.69,23,Off
26.44,24.29,981.05,271.59,12,84,0.08,39.72,6.42,15.1,9,42.98,439,26.63,29.46,6695,5616,1372,129,0,0,5,2.5,14.71,3.69,28,Off
26.31,24.29,981.05,271.6,12,82,0.08,40.5,6.21,15.89,8,43.95,414,26.28,29.3,6960,5857,1427,121,0,0,5,2.5,14.71,3.69,34,Off
26,24.3,981.05,271.64,15,101,0.1,39.63,6.98,15.42,9,43.09,544,26.08,29.48,7090,5995,1438,106,4,4,5,2.5,14.71,3.69,39,Off
25.81,24.32,981.04,271.66,18,123,0.12,40.02,6.64,15.54,9,43.44,364,25.81,29.78,7208,6123,1445,91,3,3,5,2.5,14.71,3.69,45,Off
25.56,24.33,981.04,271.65,20,133,0.13,41.96,3.88,18.12,5,45.87,331,25.88,30.02,7263,6184,1464,76,0,0,5,2.5,14.71,3.69,51,Off
25.37,24.34,981.04,271.68,18,120,0.12,40.72,5.52,16.75,7,44.38,366,25.96,29.95,7301,6197,1456,62,0,0,5,2.5,14.71,3.69,56,Off
25.44,24.35,981.03,271.76,6,39,0.04,40.72,5,17.89,6,44.76,331,26.17,29.82,7338,6202,1444,58,0,0,5,2.5,14.71,3.69,62,Off
25.44,24.36,981.03,271.75,5,33,0.03,24.52,10.68,16.08,23,31.21,404,26.3,29.75,7391,6243,1473,59,0,0,5,2.5,14.71,3.69,67,Off
25.44,24.38,981.03,271.81,6,39,0.04,41.13,6.46,17.14,8,45.02,376,26.49,29.69,7529,6376,1519,52,0,0,1.91,0.36,2.14,0.54,73,Off
25.5,24.39,981.02,271.85,10,71,0.07,40.96,5.43,17.42,7,44.84,403,26.58,29.6,7622,6471,1553,55,0,0,5,2.5,14.71,3.69,78,Off
25.56,24.41,981.02,271.83,15,99,0.1,40.06,6.46,16.92,9,43.96,443,26.56,29.39,7688,6520,1565,66,0,0,5,2.5,14.71,3.69,84,Off
25.56,24.42,981.03,271.8,14,94,0.09,40.81,6.17,18.25,8,45.13,540,26.62,29.38,7736,6553,1565,70,0,0,5,2.5,14.71,3.69,90,Off
25.56,24.43,981.02,271.83,13,91,0.09,41.17,4.58,17.1,6,44.81,514,26.64,29.4,7785,6593,1595,86,0,0,5,2.5,14.71,3.69,95,Off
25.56,24.45,981.03,271.8,13,88,0.09,40.72,7.67,16.92,10,44.76,441,26.59,29.55,7840,6634,1614,90,0,0,5,2.5,14.71,3.69,101,Off
25.75,24.46,981.03,271.77,11,79,0.08,41.52,4.88,17.46,6,45.3,417,26.72,29.66,7938,6726,1644,91,0,0,5,2.5,14.71,3.69,106,Off
26,24.48,981.04,271.71,12,85,0.09,40.92,5.13,17.35,7,44.74,411,26.84,29.69,7940,6731,1661,87,0,0,5,2.5,14.71,3.69,112,Off
26,24.49,981.03,271.81,13,90,0.09,41,5.73,17.42,7,44.91,421,27.01,29.35,7922,6703,1647,72,0,0,5,2.5,14.71,3.69,118,Off
26,24.51,981.02,271.83,5,33,0.03,39.63,7.81,17.89,11,44.17,425,27.08,29.3,7898,6678,1612,61,0,0,5,2.5,14.71,3.69,123,Off
26,24.52,981,271.99,3,19,0.02,36.33,12.06,18.21,18,42.39,429,27.2,29.32,7865,6651,1582,65,0,0,5,2.5,14.71,3.69,129,Off
26.06,24.53,981,272.05,6,39,0.04,36.5,12.98,18.6,19,42.97,429,27.28,29.26,7901,6688,1589,64,0,0,5,2.5,14.71,3.69,134,Off
26.12,24.54,980.99,272.14,2,17,0.02,36.64,12.92,18.52,19,43.04,428,27.41,29.23,7984,6775,1626,53,0,0,5,2.5,14.71,3.69,140,Off
26.19,24.56,980.98,272.16,2,14,0.01,36.54,12.23,18.33,18,42.67,429,27.49,29.17,7987,6788,1620,55,0,0,5,2.5,14.71,3.69,145,Off
26.25,24.57,980.98,272.2,10,71,0.07,36.42,13.1,17.5,19,42.47,428,27.52,28.95,7946,6736,1591,59,0,0,5,2.5,14.71,3.69,151,Off
26.25,24.59,980.99,272.14,12,81,0.08,37.38,10.25,19.14,15,43.22,432,27.59,28.88,7993,6746,1602,62,0,0,5,2.5,14.71,3.69,157,Off
26.25,24.6,980.99,272.09,13,88,0.09,36.18,13.39,17.42,20,42.33,430,27.66,28.91,8148,6880,1644,75,0,0,5,2.5,14.71,3.69,162,Off
26.37,24.62,980.99,272.11,11,79,0.08,36.02,12.67,18.33,19,42.35,427,27.76,28.89,8323,7033,1680,83,0,0,5,2.5,14.71,3.69,168,Off
26.37,24.63,980.98,272.2,12,85,0.09,36.6,12.42,18.64,18,42.91,427,27.66,28.82,8475,7199,1733,83,0,0,5,2.5,14.71,3.69,173,Off
26.44,24.65,980.98,272.17,14,97,0.1,36.54,13.43,17.58,20,42.72,434,27.55,28.72,8582,7321,1783,80,0,0,2.68,0.72,4.22,1.06,179,Off
26.37,24.66,980.99,272.14,9,59,0.06,37.25,10.6,18.75,15,43.03,428,27.65,28.83,8565,7293,1763,78,0,0,5,2.5,14.71,3.69,185,Off
26.31,24.68,981,272.06,11,72,0.07,33.56,13.06,18.33,21,40.41,420,27.69,28.85,8540,7258,1747,83,0,0,5,2.5,14.71,3.69,190,Off
26.37,24.69,980.99,272.08,13,86,0.09,28.39,19.33,19.22,34,39.36,418,27.73,28.78,8479,7196,1757,81,0,0,3.38,1.14,6.73,1.69,196,Off
26.5,24.71,980.99,272.14,13,88,0.09,23.25,18.18,18.47,38,34.82,420,27.77,28.87,8381,7104,1757,79,0,0,5,2.5,14.71,3.69,201,Off
