Temperature (*C), Pressure (hPa), Approx. Altitude (meters), Time(s), Motion,Corrected Time (s)
32.16,980.91,272.9,2299,1,0
32.14,980.89,273.43,2300,1,1
32.1,980.81,274.81,2301,1,2
32.06,980.57,277.78,2302,1,3
32.02,980.14,282.69,2303,1,4
31.97,979.47,289.58,2304,0,5
31.92,978.56,297.1,2305,0,6
31.82,977.71,303.96,2306,1,7
31.53,976.93,311.04,2307,1,8
31.36,976.07,318.2,2308,1,9
31.2,975.26,325.36,2309,1,10
31.05,974.41,332.53,2310,1,11
30.95,973.59,339.64,2311,1,12
30.88,972.77,346.47,2312,1,13
30.8,971.98,352.97,2313,1,14
30.66,971.25,358.88,2314,1,15
30.55,970.6,364.45,2315,0,16
30.28,969.97,370.49,2316,0,17
30.04,969.2,377.43,2317,0,18
29.94,968.38,384.51,2318,1,19
29.86,967.56,391.17,2319,1,20
29.81,966.83,397.72,2320,1,21
29.72,966.04,404.6,2321,1,22
29.63,965.24,411.73,2322,1,23
29.45,964.4,419.16,2323,0,24
29.34,963.52,427.09,2324,0,25
29.25,962.59,434.98,2325,0,26
29.18,961.71,442.38,2326,1,27
29,960.86,449.72,2327,1,28
28.72,960.02,456.68,2328,1,29
28.63,959.25,463.35,2329,1,30
28.56,958.49,469.64,2330,1,31
28.5,957.8,476.03,2331,1,32
28.44,957.03,482.94,2332,1,33
28.37,956.22,490.01,2333,1,34
28.31,955.42,496.94,2334,1,35
28.28,954.62,503.75,2335,1,36
28.11,953.86,510.86,2336,1,37
27.97,953.01,517.93,2337,1,38
27.91,952.23,524.72,2338,1,39
27.81,951.46,531.38,2339,1,40
27.75,950.7,538.21,2340,1,41
27.67,949.91,545.13,2341,1,42
27.59,949.14,551.92,2342,1,43
27.37,948.35,559.06,2343,1,44
27.27,947.53,566.07,2344,1,45
27.21,946.74,573.44,2345,0,46
27.18,945.87,580.66,2346,0,47
27.17,945.09,587.47,2347,0,48
26.97,944.32,594.07,2348,1,49
26.82,943.58,600.17,2349,1,50
26.61,942.92,606.33,2350,1,51
26.41,942.19,612.65,2351,1,52
26.28,941.49,618.68,2352,1,53
26.19,940.82,624.48,2353,1,54
26.13,940.18,629.75,2354,1,55
26.09,939.62,634.76,2355,0,56
26.04,939.04,639.81,2356,0,57
25.91,938.49,644.59,2357,1,58
25.84,937.96,649.18,2358,1,59
25.69,937.44,653.72,2359,1,60
25.62,936.94,658.4,2360,1,61
25.58,936.39,663.63,2361,1,62
25.54,935.78,668.9,2362,1,63
25.5,935.18,674.16,2363,1,64
25.4,934.61,679.55,2364,1,65
25.27,933.96,685.56,2365,1,66
25.24,933.27,691.45,2366,1,67
25.21,932.63,696.96,2367,1,68
25.03,932.02,702.55,2368,1,69
24.91,931.38,707.93,2369,1,70
24.87,930.81,712.82,2370,1,71
24.83,930.28,716.9,2371,1,72
24.62,929.88,720.9,2372,1,73
24.42,929.4,725.33,2373,0,74
24.36,928.89,730.03,2374,0,75
24.35,928.36,734.79,2375,1,76
24.33,927.83,739.36,2376,1,77
24.28,927.3,743.46,2377,1,78
24.07,926.92,746.95,2378,1,79
23.91,926.52,750.66,2379,0,80
23.82,926.09,754.73,2380,0,81
23.72,925.63,758.95,2381,0,82
23.66,925.14,763.2,2382,0,83
23.63,924.66,767.61,2383,1,84
23.56,924.18,771.78,2384,1,85
23.44,923.72,775.59,2385,1,86
23.29,923.32,779.68,2386,1,87
23.17,922.82,784.16,2387,1,88
23.15,922.34,788.51,2388,1,89
23.13,921.85,792.98,2389,1,90
23.1,921.35,797.6,2390,1,91
23.1,920.82,802.42,2391,0,92
23.09,920.27,807.28,2392,0,93
23.09,919.73,811.77,2393,1,94
22.98,919.28,816.21,2394,1,95
22.9,918.75,821.08,2395,1,96
22.89,918.2,826.11,2396,1,97
22.87,917.63,831.29,2397,1,98
22.86,917.06,836.53,2398,1,99
22.85,916.47,841.96,2399,1,100
22.78,915.87,847.65,2400,1,101
22.74,915.21,853.44,2401,1,102
22.73,914.58,858.86,2402,1,103
22.68,914,864.3,2403,1,104
22.57,913.4,869.62,2404,1,105
22.56,912.82,875.09,2405,1,106
22.57,912.2,880.61,2406,1,107
22.56,911.59,886.41,2407,1,108
22.54,910.92,892.39,2408,1,109
22.5,910.27,897.91,2409,0,110
22.48,909.69,903.18,2410,0,111
22.43,909.13,908.3,2411,0,112
22.4,908.56,913.6,2412,1,113
22.35,907.96,919.17,2413,1,114
22.33,907.34,924.78,2414,1,115
22.31,906.73,930.06,2415,1,116
22.3,906.17,935.06,2416,1,117
22.27,905.64,940.16,2417,1,118
22.12,905.05,945.75,2418,1,119
22.02,904.42,951.54,2419,1,120
21.96,903.78,956.99,2420,1,121
21.85,903.21,962.56,2421,1,122
21.73,902.59,968.37,2422,0,123
21.71,901.94,973.92,2423,0,124
21.7,901.35,979.16,2424,0,125
21.51,900.81,983.85,2425,1,126
21.46,900.31,988.01,2426,1,127
21.39,899.89,992.02,2427,1,128
21.24,899.44,996.35,2428,1,129
21.18,898.95,1001.66,2429,1,130
21.18,898.34,1005.88,2430,1,131
21.18,897.96,1009.18,2431,1,132
21.19,897.61,1012.2,2432,1,133
21.11,897.31,1015.15,2433,1,134
20.96,896.96,1018.86,2434,1,135
20.86,896.52,1023.37,2435,1,136
20.85,895.99,1028.4,2436,1,137
20.84,895.44,1033.48,2437,1,138
20.83,894.89,1038.29,2438,0,139
20.77,894.37,1043.04,2439,0,140
20.67,893.87,1047.66,2440,0,141
20.53,893.38,1052.45,2441,1,142
20.41,892.83,1057.2,2442,1,143
20.37,892.33,1062.04,2443,1,144
20.35,891.79,1066.93,2444,1,145
20.34,891.26,1071.51,2445,1,146
20.21,890.79,1076.26,2446,1,147
20.16,890.26,1081.02,2447,1,148
20.17,889.74,1085.79,2448,1,149
20.09,889.24,1090.33,2449,0,150
20.02,888.74,1095.14,2450,0,151
19.99,888.21,1100.22,2451,0,152
19.98,887.66,1105.56,2452,1,153
19.97,887.06,1110.94,2453,1,154
19.96,886.5,1115.77,2454,1,155
19.87,885.99,1121.03,2455,1,156
19.78,885.39,1126.39,2456,1,157
19.76,884.83,1131.4,2457,1,158
19.63,884.32,1136.18,2458,1,159
19.48,883.78,1141.26,2459,1,160
19.45,883.25,1146.5,2460,1,161
19.44,882.65,1151.86,2461,1,162
19.43,882.09,1157.01,2462,1,163
19.43,881.55,1161.74,2463,1,164
19.35,881.07,1166.55,2464,1,165
19.29,880.52,1171.64,2465,1,166
19.28,879.98,1176.78,2466,1,167
19.25,879.43,1181.99,2467,1,168
19.22,878.85,1187.24,2468,1,169
19.21,878.31,1192.2,2469,1,170
19.18,877.78,1197.11,2470,1,171
19.08,877.26,1202.38,2471,1,172
19.05,876.68,1207.96,2472,1,173
19.04,876.07,1213.44,2473,1,174
19.03,875.49,1218.96,2474,1,175
19.01,874.9,1224.22,2475,0,176
18.99,874.35,1229.38,2476,0,177
18.89,873.8,1235.01,2477,0,178
18.86,873.17,1240.78,2478,1,179
18.86,872.57,1246.63,2479,1,180
18.76,871.94,1252.39,2480,0,181
18.73,871.33,1258.09,2481,0,182
18.72,870.72,1263.58,2482,1,183
18.6,870.16,1269.48,2483,1,184
18.53,869.5,1275.8,2484,1,185
18.5,868.82,1282,2485,1,186
18.49,868.18,1287.72,2486,1,187
18.48,867.58,1293.61,2487,1,188
18.48,866.96,1299.17,2488,1,189
18.4,866.39,1304.78,2489,1,190
18.34,865.78,1310.56,2490,1,191
18.32,865.15,1316.88,2491,1,192
18.32,864.47,1323.23,2492,1,193
18.3,863.79,1329.36,2493,1,194
18.24,863.19,1334.99,2494,1,195
18.24,862.59,1340.54,2495,1,196
18.13,862,1346.13,2496,1,197
18.08,861.43,1351.56,2497,1,198
17.98,860.85,1357.09,2498,1,199
17.95,860.27,1362.63,2499,1,200
17.92,859.66,1368.86,2500,1,201
17.91,858.99,1374.9,2501,1,202
17.9,858.39,1380.48,2502,1,203
17.88,857.81,1386.08,2503,1,204
17.79,857.22,1391.69,2504,1,205
17.7,856.61,1397.8,2505,1,206
17.67,855.97,1403.83,2506,1,207
17.63,855.34,1409.38,2507,1,208
17.52,854.79,1414.81,2508,1,209
17.47,854.22,1420.09,2509,1,210
17.45,853.67,1425.51,2510,1,211
17.43,853.1,1431.16,2511,1,212
17.4,852.49,1436.69,2512,1,213
17.32,851.92,1442.54,2513,0,214
17.25,851.29,1448.65,2514,0,215
17.23,850.65,1454.83,2515,0,216
17.1,850,1460.9,2516,1,217
17.08,849.38,1466.28,2517,1,218
16.97,848.87,1471.79,2518,1,219
16.79,848.26,1477.59,2519,1,220
16.76,847.65,1483.4,2520,0,221
16.64,847.04,1489.31,2521,0,222
16.62,846.43,1495,2522,1,223
