Time(s), Temperature (C),Pressure (hPa),Altitude (m),CPM,nSv/h,uSv/h,Mag X (mT),Mag Y (mT),Mag Z (mT),Magnitude (mT),Analog V
2452.01,37.75,979.43,285.47,14,93,0.09,0.04,-0.31,-0.16,0.35,0.04
2455.09,37.76,978.11,296.77,14,93,0.09,0.04,0.08,-0.12,0.15,0.04
2458.16,37.7,976.56,310.07,15,99,0.1,0.04,-0.16,-0.12,0.2,0.04
2461.23,37.64,974.9,324.31,19,125,0.13,0.08,-0.12,-0.08,0.16,0.04
2464.3,37.56,973.1,339.78,15,99,0.1,0.16,0.08,-0.12,0.21,0.05
2467.38,37.39,971.2,356.1,14,97,0.1,0.04,-0.08,-0.16,0.18,0.05
2470.45,37.28,969.17,373.67,15,103,0.1,0.04,-0.12,0,0.12,0.04
2473.52,37.23,966.95,392.81,13,86,0.09,0,0.08,-0.12,0.14,0.05
2476.59,37.13,964.76,411.75,13,92,0.09,0,-0.39,0,0.39,0.05
2479.66,36.99,962.6,430.53,12,80,0.08,0,0,-0.08,0.08,0.05
2482.74,36.82,960.38,449.79,13,86,0.09,-0.04,-0.2,-0.04,0.2,0.05
2485.81,36.71,958.13,469.37,11,77,0.08,-0.08,-0.23,-0.16,0.29,0.04
2488.88,36.65,955.86,489.16,12,82,0.08,0.04,-0.08,-0.16,0.18,0.04
2491.95,36.59,953.6,508.89,8,52,0.05,0.04,0,-0.16,0.16,0.04
2495.02,36.48,951.37,528.46,11,72,0.07,0.08,-0.27,-0.04,0.29,0.04
2498.1,36.38,949.12,548.17,15,99,0.1,0.12,-0.08,-0.08,0.16,0.04
2501.17,36.3,946.94,567.33,9,64,0.06,0.04,-0.16,-0.08,0.18,0.04
2504.24,36.14,944.92,585.11,7,51,0.05,0.04,-0.23,-0.2,0.31,0.05
2507.31,35.98,943.01,601.89,6,43,0.04,-0.08,-0.23,-0.16,0.29,0.04
2510.39,35.78,941.21,617.83,5,36,0.04,0.04,0.04,-0.08,0.1,0.04
2513.46,35.56,939.4,633.82,4,32,0.03,-0.16,-0.12,0,0.2,0.05
2516.53,35.37,937.58,649.94,8,57,0.06,0.08,0.04,-0.08,0.12,0.04
2523.6,35.19,935.77,666.04,12,80,0.08,0.04,-0.23,0,0.24,0.04
2692.7,34.91,933.6,685.33,17,114,0.11,-0.08,-0.08,-0.04,0.12,0.05
2695.78,33.86,909.62,900.86,16,105,0.11,-0.08,-0.04,0,0.09,0.05
2698.85,33.03,891.27,1069.01,12,79,0.08,0.08,-0.16,0,0.17,0.05
2701.92,32.34,877.16,1200.14,11,72,0.07,0.16,-0.16,-0.08,0.23,0.04
2705,31.75,866.12,1304.04,14,97,0.1,-0.16,-0.16,-0.12,0.25,0.04
2708.07,31.24,857.53,1385.55,11,77,0.08,0.04,-0.08,-0.04,0.1,0.04
3411.3,30.78,850.65,1451.35,31,205,0.21,0.12,-0.35,-0.12,0.39,0.13
3414.37,26.5,757.43,2388.06,31,207,0.21,0,-0.2,-0.12,0.23,0.05
3417.44,23.27,688.25,3145.55,30,205,0.21,0.12,-0.08,-0.04,0.15,0.04
